
============================================================
SHEET: Lịch thi
============================================================

Unnamed: 0 | TRƯỜNG ĐH CÔNG NGHỆ THÔNG TIN | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM | Unnamed: 11 | Unnamed: 12 | Unnamed: 13 | Unnamed: 14 | Unnamed: 15 | Unnamed: 16
--------------------------------------------------------------------------------
      PHÒNG ĐÀO TẠO ĐẠI HỌC | Độc lập – Tự do – Hạnh phúc
LỊCH THI LÝ THUYẾT GIỮA KỲ
HỌC KỲ 1 - NĂM HỌC 2025 - 2026
STT | Mã MH | Tên MH | Mã lớp | Giảng Viên LT | Khóa học | Khoa QL | Ngày thi | Thứ | Ca Thi | Phòng Thi | Số SV | Hệ ĐT | Đợt thi | Lần thi | Học kỳ | Năm học
1 | MA006 | Giải tích | MA006.Q11 | Lê Huỳnh Mỹ Vân | 20 | BMTL | 03-11-2025 | 2 | 2 | B1.10 | 31 | CQUI | 1 | 1 | 1 | 2025
2 | MA006 | Giải tích | MA006.Q11 | Lê Huỳnh Mỹ Vân | 20 | BMTL | 03-11-2025 | 2 | 2 | B1.12 | 31 | CQUI | 1 | 1 | 1 | 2025
3 | MA006 | Giải tích | MA006.Q11.CTTN | Nguyễn Văn Hợi | 20 | BMTL | 03-11-2025 | 2 | 2 | C213 | 60 | CNTN | 1 | 1 | 1 | 2025
4 | MA006 | Giải tích | MA006.Q11.VMTN | Phùng Minh Đức | 20 | BMTL | 03-11-2025 | 2 | 2 | E10.1 | 30 | CNTN | 1 | 1 | 1 | 2025
5 | MA006 | Giải tích | MA006.Q110 | Cao Thanh Tình | 20 | BMTL | 03-11-2025 | 2 | 2 | B3.10 | 34 | CQUI | 1 | 1 | 1 | 2025
6 | MA006 | Giải tích | MA006.Q110 | Cao Thanh Tình | 20 | BMTL | 03-11-2025 | 2 | 2 | B3.12 | 35 | CQUI | 1 | 1 | 1 | 2025
7 | MA006 | Giải tích | MA006.Q111 | Nguyễn Thành Nghĩa | 20 | BMTL | 03-11-2025 | 2 | 2 | B1.14 | 63 | CQUI | 1 | 1 | 1 | 2025
8 | MA006 | Giải tích | MA006.Q112 | Mai Thành Long | 20 | BMTL | 03-11-2025 | 2 | 2 | B6.02 | 33 | CQUI | 1 | 1 | 1 | 2025
9 | MA006 | Giải tích | MA006.Q112 | Mai Thành Long | 20 | BMTL | 03-11-2025 | 2 | 2 | B6.04 | 32 | CQUI | 1 | 1 | 1 | 2025
10 | MA006 | Giải tích | MA006.Q113 | Nguyễn Minh Trí | 20 | BMTL | 03-11-2025 | 2 | 2 | B3.18 | 37 | CQUI | 1 | 1 | 1 | 2025
11 | MA006 | Giải tích | MA006.Q113 | Nguyễn Minh Trí | 20 | BMTL | 03-11-2025 | 2 | 2 | B3.22 | 38 | CQUI | 1 | 1 | 1 | 2025
12 | MA006 | Giải tích | MA006.Q114 | Lê Huỳnh Mỹ Vân | 20 | BMTL | 03-11-2025 | 2 | 2 | B4.20 | 37 | CQUI | 1 | 1 | 1 | 2025
13 | MA006 | Giải tích | MA006.Q114 | Lê Huỳnh Mỹ Vân | 20 | BMTL | 03-11-2025 | 2 | 2 | B4.22 | 38 | CQUI | 1 | 1 | 1 | 2025
14 | MA006 | Giải tích | MA006.Q115 | Lê Hoàng Tuấn | 20 | BMTL | 03-11-2025 | 2 | 2 | B1.02 | 30 | CQUI | 1 | 1 | 1 | 2025
15 | MA006 | Giải tích | MA006.Q115 | Lê Hoàng Tuấn | 20 | BMTL | 03-11-2025 | 2 | 2 | B1.22 | 44 | CQUI | 1 | 1 | 1 | 2025
16 | MA006 | Giải tích | MA006.Q116 | Phùng Minh Đức | 20 | BMTL | 03-11-2025 | 2 | 2 | B1.08 | 30 | CQUI | 1 | 1 | 1 | 2025
17 | MA006 | Giải tích | MA006.Q116 | Phùng Minh Đức | 20 | BMTL | 03-11-2025 | 2 | 2 | B3.16 | 40 | CQUI | 1 | 1 | 1 | 2025
18 | MA006 | Giải tích | MA006.Q117 | Nguyễn Minh Trí | 20 | BMTL | 03-11-2025 | 2 | 2 | B4.16 | 35 | CQUI | 1 | 1 | 1 | 2025
19 | MA006 | Giải tích | MA006.Q117 | Nguyễn Minh Trí | 20 | BMTL | 03-11-2025 | 2 | 2 | B4.18 | 35 | CQUI | 1 | 1 | 1 | 2025
20 | MA006 | Giải tích | MA006.Q118 | Nguyễn Minh Trí | 20 | BMTL | 03-11-2025 | 2 | 2 | B4.10 | 34 | CQUI | 1 | 1 | 1 | 2025
21 | MA006 | Giải tích | MA006.Q118 | Nguyễn Minh Trí | 20 | BMTL | 03-11-2025 | 2 | 2 | B4.12 | 34 | CQUI | 1 | 1 | 1 | 2025
22 | MA006 | Giải tích | MA006.Q119 | Lê Huỳnh Mỹ Vân | 20 | BMTL | 03-11-2025 | 2 | 2 | B5.10 | 35 | CQUI | 1 | 1 | 1 | 2025
