url,status,content_type,domain,local_path,fetched_at,is_file,is_html
https://daa.uit.edu.vn/van-ban/quy-che,,,,output_raw\html\12621c0d5166d26d.html,2025-10-06T14:48:05.567739,False,True
http://www.uit.edu.vn/sites/vi/files/uploads/files/201607/bctdg_dhcntt_2016.pdf,200,application/pdf,,output_raw\files\1903121efcd70620.pdf,2025-10-06T14:48:10.176734,True,False
https://www.uit.edu.vn/sites/vi/files/images/ThongTin/2012/NOI%20QUY%20CO%20QUAN%20DHCNTT-QD241.pdf,200,application/pdf,,output_raw\files\651d3c045b5d4969.pdf,2025-10-06T14:48:09.319007,True,False
https://daa.uit.edu.vn/van-ban/quy-dinh,,,,output_raw\html\766307969cdadf27.html,2025-10-06T14:48:04.879389,False,True
https://fit.uit.edu.vn,,,,output_raw\html\86f1ec699dc42a2f.html,2025-10-06T14:48:13.536370,False,True
https://daa.uit.edu.vn,,,,output_raw\html\888e2c24085f5ad8.html,2025-10-04T13:44:21.681228,False,True
https://daa.uit.edu.vn/sites/daa/files/uploads/53_qd_dhcntt_19_2_2019scan.pdf,200,application/pdf,,output_raw\files\8b45fc4507d4e0df.pdf,2025-10-04T13:44:22.978003,True,False
https://www.uit.edu.vn/sitemap.xml?page=1,,,,output_raw\html\8dcb0e732adaf193.html,2025-10-04T13:44:28.203343,False,True
https://www.uit.edu.vn/sites/vi/files/uploads/files/202507/quy_che_attt_uit_final.pdf,200,application/pdf,,output_raw\files\912b4a5450a18df5.pdf,2025-10-06T14:48:09.381701,True,False
https://oep.uit.edu.vn,,,,output_raw\html\9ed1c5b886df4c6b.html,2025-10-04T13:44:19.715922,False,True
https://www.uit.edu.vn/sitemap.xml?page=2,200,text/xml; charset=utf-8,,output_raw\files\aa9606793767e80c.bin,2025-10-04T13:44:59.569715,True,False
https://daa.uit.edu.vn/thong-bao,,,,output_raw\html\acfae136d7fb53d5.html,2025-10-06T14:48:03.740947,False,True
https://www.uit.edu.vn/sites/vi/files/uploads/files/202509/929_qd_dhqg.pdf,200,application/pdf,,output_raw\files\b05ba49800dc1a6c.pdf,2025-10-06T14:48:08.532459,True,False
https://www.uit.edu.vn/sites/vi/files/uploads/files/202409/07_nq_hdtdhcntt_09_9_2024.pdf,200,application/pdf,,output_raw\files\c63d9df92b0dd96f.pdf,2025-10-06T14:48:09.245142,True,False
https://daa.uit.edu.vn/van-ban,,,,output_raw\html\cc20d9a929b42d87.html,2025-10-06T14:48:04.305763,False,True
https://fit.uit.edu.vn/vi/thong-bao,500,text/html; charset=UTF-8,,,2025-10-06T14:45:27.289953,False,False
https://www.uit.edu.vn,,,,output_raw\html\e4e1f3b148fe80a9.html,2025-10-04T13:44:06.819993,False,True
https://oep.uit.edu.vn/thong-bao,,,,output_raw\html\f15252dea6946cec.html,2025-10-06T14:48:06.300710,False,True
https://www.uit.edu.vn/tin-tuc,,,,output_raw\html\fc2aea80fc1a6dfc.html,2025-10-06T14:48:07.300290,False,True
